`职务,地区,公司名字,薪资,经验,公司类型,公司福利
德佑品牌经纪人/贝壳找房大平台/5000底薪,福州·台江区·宁化,贝壳房地产咨询,5-10K,经验不限大专,工程施工,年终奖，股票期权，住房补贴，包吃，定期体检，节日福利，零食下午茶，补充医疗保险，带薪年假，员工旅游，五险一金
后期制作,福州·鼓楼区·黎明,我主良缘,6-9K,1-3年大专,婚庆/摄影,带薪年假，全勤奖，加班补助，零食下午茶，节日福利，每月生日会，六险一金
web前端,福州·仓山区·金山,为商科技,4-8K,经验不限大专,互联网,年终奖
高薪诚聘建材公司经理助理,福州·仓山区·红星爱琴海广场,得高地板,5-6K,1-3年大专,建材,通讯补贴，五险一金，带薪年假，节日福利，补充医疗保险，年终奖，员工旅游，交通补助，全勤奖，餐补
白班电信客服(仓山万达),福州,鼓山刘平贤建材商行,4-8K,经验不限中专/中技,建材,
高薪视频剪辑师+双休+五险一金+年终,福州·仓山区·金山,浩凡网络,6-9K,3-5年大专,移动互联网,通讯补贴，交通补助，年终奖，全勤奖，五险一金，节日福利，员工旅游，带薪年假
网络工程师,福州·鼓楼区·蒙古营,优网公司,8-10K·13薪,3-5年大专,计算机服务,意外险，加班补助，年终奖，生日福利
初中数学教师,福州·台江区·台江万达,华伦中学,7-12K,经验不限本科,院校,加班补助，员工旅游，节日福利，五险一金，带薪年假，包吃
市场营销顾问,福州·台江区·融侨中心,澄迈一龄,5-10K,1-3年学历不限,医疗健康,定期体检，哺乳期带薪休，陪产带薪休，病假带薪，婚产丧带薪休，员工旅游，防暑降温费，五险一金，节日福利，工龄，包住，通讯补贴，带薪年假，全勤奖
爱戴内衣招聘店员/营业员,福州·仓山区·红星爱琴海广场,爱戴内衣,3-8K,经验不限学历不限,服装/纺织/皮革,
花漫里餐饮店招聘餐饮学徒,福州·台江区·斗池,花漫里餐饮店,3-5K,经验不限学历不限,餐饮,
结构设计工程师,福州,冠林科技,6-9K·14薪,1-3年大专,智能硬件,年终奖，包住，节日福利，免费班车，五险一金
平面设计,福州·晋安区·鼓山,金吉美,4-9K,1-3年大专,广告/公关/会展,
售前工程师,福州·闽侯县·新西客站,海缘信息科技,5-10K,3-5年大专,互联网,节日福利，全勤奖，通讯补贴，加班补助，股票期权，餐补，交通补助，年终奖，带薪年假
儿童摄影引导师,福州·长乐区·长乐市中心城区,福州市长乐区吴航...,4-5K,经验不限学历不限,婚庆/摄影,
